"","Ego","Alter","Organization","Budget and Administration","Landscape","Permitting","Science","Other","Other Area","Nature"
"1","Amy Keister","Gretchen Ehlinger","USACE",0,1,0,0,0,NA,"Collaboration"
"2","Amy Keister","Fred Sklar","South Florida Water Management District",0,1,0,0,0,NA,"Collaboration"
"3","Amy Keister","Agnes McLean","National Park Service",0,1,0,0,0,NA,"Collaboration"
"4","Amy Keister","Allyn Childress","DOI Office of Everglades Restoration Initiatives",0,1,0,1,0,NA,"Collaboration"
"5","Amy Keister","Nick Aumen","USGS",0,0,0,1,0,NA,"Coordination"
"6","Amy Keister","Frank Mazzotti (UF Croc Docs)","University of Florida",0,0,0,1,0,NA,"Collaboration"
"7","Amy Keister","Hardin Waddle","USGS",0,0,0,1,0,NA,"Collaboration"
"8","Anne Mini","Pat Jodice","USGS, SCCFWLRU",0,0,0,1,1,"GoMMAPPS Seabird Project (BOEM funded)","Collaboration"
"9","Anne Mini","Mark Woodrey","MS State Univ.",0,0,0,1,0,NA,"Coordination"
"10","Anne Mini","TJ Zenzal","USGS",0,0,0,1,0,NA,"Coordination"
"11","Anne Mini","Auriel Fournier","Ill Nat History Survey, Forbes Biol Res Station",0,0,0,1,0,NA,"Coordination"
"12","Anne Mini","Evan Adams","BRI",0,0,0,1,0,NA,"Coordination"
"13","Anne Mini","Kara Fox","Nat Audubon Society",0,0,0,1,0,NA,"Coordination"
"14","Anne Mini","Peter Frederick","Univ of FL",0,0,0,1,0,NA,"Coordination"
"15","Anne Mini","Janell Brush","Florida Fish and WL Conserv Comm",0,0,0,1,0,NA,"Coordination"
"16","Anne Mini","Jim Lyons","USGS Patuxent WLRC",0,0,0,1,0,NA,"Coordination"
"17","Anne Mini","Bob Cooper","Univ of GA",0,0,0,1,0,NA,"Coordination"
"18","Anne Mini","Andrew Cox","Florida Fish and WL Conserv Comm",0,0,0,1,1,"Gulf Restoration (birds)- FL and Regionwide TIGs","Coordination"
"19","Anne Mini","Rob Dobbs","LA Dept WL & Fisheries",0,0,0,1,1,"Gulf Restoration (birds)- LA and Regionwide TIGs","Coordination"
"20","Anne Mini","Jessica Schulz","Ducks Unlimited",0,0,0,1,0,NA,"Coordination"
"21","Anne Mini","Abby Powell","Univ of FL",0,0,0,1,1,"Gulf Restoration (birds)- restoration science","Coordination"
"22","Anne Mini","Jenny Litz","NOAA",0,0,0,1,1,"GoMMAPPS Project- cross taxa coordination","Coordination"
"23","Beth Stys","Amity Bass","Louisiana Department of Wildlife & Fisheries",0,1,0,1,0,NA,"Collaboration"
"24","Beth Stys","Dan Figert","Kentucky Department of Fish & Wildlife Resources",0,1,0,0,0,NA,"Collaboration"
"25","Beth Stys","Andrew Cox","Florida Fish & Wildlife Conservation Commission",0,1,0,1,0,NA,"Collaboration"
"26","Beth Stys","Seth Blitch","TNC",0,1,0,0,0,NA,"Collaboration"
"27","Beth Stys","Darryl Boudreau","Northwest Florida Water Management District",0,1,0,0,0,NA,"Collaboration"
"28","Beth Stys","Vernon Compton","The Longleaf Alliance",0,1,0,0,0,NA,"Collaboration"
"29","Beth Stys","Salem Saloom","Private Landowner",0,1,0,0,0,NA,"Coordination"
"30","Beth Stys","Kristine Evans","Mississippi State University",0,0,0,1,0,NA,"Collaboration"
"31","Beth Stys","Claude Jenkins","Alabama Wildlife Federation",0,1,0,1,0,NA,"Collaboration"
"32","Beth Stys","Ed Penny","Ducks Unlimited",0,1,0,0,0,NA,"Coordination"
"33","Beth Stys","John Gruchy","Mississippi Dept of Fish, Wildlife & Parks",0,1,0,0,0,NA,"Collaboration"
"34","Beth Stys","Steve Chapman","National Bobwhite Conservation Initiative",0,1,0,0,0,NA,"Collaboration"
"35","Beth Stys","Phil Darby","University of West Florida",0,0,0,1,0,NA,"Collaboration"
"36","Beth Stys","David Godwin","Southern Fire Exchange",0,1,0,0,0,NA,"Collaboration"
"37","Beth Stys","Ad Platt","The Longleaf Alliance",0,1,0,0,0,NA,"Collaboration"
"38","Bill Bartush","Bryan Watts","state",0,0,0,1,0,NA,"Communication"
"39","Bill Bartush","Pat Jodice","federal",0,0,0,1,0,NA,"Coordination"
"40","Bill Bartush","Jim Lyons","federal",0,0,0,0,0,NA,"Collaboration"
"41","Bill Bartush","Greg Balkcom","state",0,1,0,1,0,NA,"Coordination"
"42","Bill Bartush","Scott Anderson","state",0,1,0,1,0,NA,"Collaboration"
"43","Bill Bartush","Michael Flynn","NGO",0,1,0,0,0,NA,"Coordination"
"44","Bill Bartush","Molly Kneece","state",0,1,0,1,0,NA,"Coordination"
"45","Bill Bartush","Doug Howell","state",0,1,0,1,0,NA,"Coordination"
"46","Bill Bartush","Andrew Fanning","state",0,1,0,1,0,NA,"Coordination"
"47","Bill Bartush","Emily Purcell","NGO",0,1,0,0,0,NA,"Collaboration"
"48","Bill Uihlein","Soledad G.","Para La Naturaleza",0,1,0,0,0,NA,"Collaboration"
"49","Bill Uihlein","Ruber","UPR-B",0,0,0,0,1,"Invasive species","Collaboration"
"50","Bill Uihlein","Lourdes Olmedo","DRNA",0,0,0,0,1,"invasive species","Collaboration"
"51","Bill Uihlein","Renata Plantenberg","UVI",0,1,0,1,0,NA,"Collaboration"
"52","Bill Uihlein","Ernesto Diaz","DRNA",0,1,0,0,0,NA,"Coordination"
"53","Bill Uihlein","Mitch Aide","Sieve analytics",0,1,0,1,0,NA,"Collaboration"
"54","Bill Uihlein","Marcone Campos","sieve analytics",0,1,0,1,0,NA,"Collaboration"
"55","Bill Uihlein","Dunkin Elkins","UNC",0,1,0,0,0,NA,"Collaboration"
"56","Bill Uihlein","Kristine Evans","Mississippi State University",0,1,0,0,0,NA,"Coordination"
"57","Bill Uihlein","Tamara Heartsill","USFS",0,1,0,1,0,NA,"Collaboration"
"58","Bill Uihlein","Mei Yu","UPR-RP",0,1,0,1,0,NA,"Collaboration"
"59","Bill Uihlein","Tom Kwak","USGS Coop / NCstate",0,1,0,1,0,NA,"Collaboration"
"60","Bill Uihlein","Jaime Collazo","USGS Coop / NCstate",0,1,0,1,0,NA,"Collaboration"
"61","Bill Uihlein","Adam Terando","USGS CASC",0,1,0,1,0,NA,"Collaboration"
"62","Bill Uihlein","Ryan Boyles","USGS CASC",0,1,0,0,0,NA,"Collaboration"
"63","Blaine Elliott","Kenny Ribbeck","LDWF",0,1,0,0,0,NA,"Collaboration"
"64","Blaine Elliott","Eddie Taylor","USDA Forest Service",0,1,0,0,0,NA,"Coordination"
"65","Blaine Elliott","Garrick Dugger","Arkansas Game & Fish Commission",0,1,0,0,0,NA,"Coordination"
"66","Blaine Elliott","Russ Walsh","Mississippi Department of Wildlife, Fisheries, and Parks",0,1,0,0,0,NA,"Communication"
"67","Blaine Elliott","Joel Porath","Missouri Department of Conservation",0,1,0,0,0,NA,"Coordination"
"68","Blaine Elliott","Jason Maxedon","Tennessee Wildlife Resources Agency",0,1,0,0,0,NA,"Communication"
"69","Blaine Elliott","Scott Manley","Ducks Unilmited",0,1,0,0,0,NA,"Coordination"
"70","Blaine Elliott","Tom Doyle","USGS Wetland & Aquatic Research Center",0,1,0,0,0,NA,"Communication"
"71","Blaine Elliott","Chris Garland","Kentucky Department of Fish & Wildlife Resources",0,1,0,0,0,NA,"Communication"
"72","Blaine Elliott","Stacey Shankle","Trust for Public Land",0,1,0,0,0,NA,"Coordination"
"73","Blaine Elliott","Ron Seiss","The Nature Conservance",0,1,0,0,0,NA,"Collaboration"
"74","Blaine Elliott","Donald Locasio","Louisiana Department of Wildlife & Fisheries",0,1,0,1,0,NA,"Collaboration"
"75","Blaine Elliott","David Breithaupt","Louisiana Department of Wildlife & Fisheries",0,1,0,0,0,NA,"Collaboration"
"76","Blaine Elliott","Ricky Chastain","Arkansas Game & Fish Commission",0,1,0,0,0,NA,"Collaboration"
"77","Blaine Elliott","Ryan Diener","Pheasants Forever Quail Forever",0,1,0,0,0,NA,"Collaboration"
"78","Blair Tirpak","Jennifer Wright","Arkansas Game Fish and Wildlife",0,0,0,0,0,NA,"Communication"
"79","Blair Tirpak","Danielle Bates","Texas Parks and Wildlife Dept",0,0,0,0,0,NA,"Communication"
"80","Blair Tirpak","Suzanne Terrell","Louisiana Dept of Wildlife and Fisheries",0,0,0,0,0,NA,"Communication"
"81","Blair Tirpak","Penny Presson","Duck Unlimited",0,0,0,0,0,NA,"Communication"
"82","Blair Tirpak","Merrie Morrison","American Bird Conservancy",0,0,0,0,0,NA,"Communication"
"83","Brent Murry","Jane Fitzgerald","ABC",0,1,0,1,0,NA,"Collaboration"
"84","Brent Murry","Andrew Cox","FFWCC",0,0,0,1,0,NA,"Collaboration"
"85","Brent Murry","Kate Slankard","KDFWR",0,0,0,1,0,NA,"Collaboration"
"86","Brent Murry","Todd Fearer","ABC",0,1,0,1,0,NA,"Collaboration"
"87","Brent Murry","Cara Joos","ABC",0,1,0,1,0,NA,"Collaboration"
"88","Brent Murry","Becky Keller","ABC",0,1,0,1,0,NA,"Collaboration"
"89","Brent Murry","Kyle Brazil","ABC",0,1,0,1,0,NA,"Coordination"
"90","Brent Murry","Erice Soehren","ADCNR",0,0,0,1,0,NA,"Coordination"
"91","Brent Murry","David Hanni","TWRA",0,0,0,1,0,NA,"Communication"
"92","Brent Murry","Clay Green","TSU",0,0,0,1,0,NA,"Collaboration"
"93","Brent Murry","Jim Giocomo","ABC",0,1,0,1,0,NA,"Collaboration"
"94","Buddy Jones","Addie Thornton","SERPPAS",0,1,0,1,0,NA,"Coordination"
"95","Buddy Jones","Lou Addor","NC State Univ.",0,1,0,1,0,NA,"Collaboration"
"96","Buddy Jones","Gordon Myers","NC Wildlife",0,1,0,0,0,NA,"Collaboration"
"97","Buddy Jones","Jessica Graham","SARP",0,1,0,1,0,NA,"Coordination"
"98","Buddy Jones","Ryan Boyles","SECASC",0,1,0,1,0,NA,"Coordination"
"99","Buddy Jones","Mike Miner","Water Institute of the Gulf",0,1,0,1,0,NA,"Collaboration"
"100","Buddy Jones","Nils Peterson","NC State Univ",0,0,0,1,0,NA,"Collaboration"
"101","Buddy Jones","Shawn Johnson","Univ. Montana",0,1,0,1,0,NA,"Collaboration"
"102","Buddy Jones","Ryan Orndorff","Dept of Defense",0,1,0,0,0,NA,"Communication"
"103","Buddy Jones","Susan Gibson","US ACE",0,1,0,0,0,NA,"Communication"
"104","Buddy Jones","Curtis Hopkins","SEAFWA",0,1,0,0,0,NA,"Communication"
"105","Buddy Jones","Greg Wathen","TWRA",0,1,0,1,0,NA,"Communication"
"106","Buddy Jones","Anna Smith","SCDNR",0,1,0,1,0,NA,"Coordination"
"107","Buddy Jones","Todd Ewing","NC Wildlife",0,1,0,1,0,NA,"Coordination"
"108","Buddy Jones","Jon Ambrose","GA DNR",0,1,0,1,0,NA,"Coordination"
"109","Carmen Simonton","Kristine Evans","Mississippi State University",0,1,0,1,0,NA,"Collaboration"
"110","Carmen Simonton","Amanda Sesser","Mississippi State University",0,1,0,1,0,NA,"Collaboration"
"111","Carmen Simonton","Ann Hijuelos","USGS",0,1,0,0,0,NA,"Collaboration"
"112","Carmen Simonton","Greg Steyer","USGS",0,1,0,0,0,NA,"Coordination"
"113","Carmen Simonton","Mel Landry","NOAA",0,1,0,0,0,NA,"Collaboration"
"114","Carmen Simonton","Courtney Schupp","NOAA",0,1,0,0,0,NA,"Collaboration"
"115","Carmen Simonton","Tim Carruthers","TWIG",0,1,0,1,0,NA,"Collaboration"
"116","Carmen Simonton","Christina Mohrman","GOMA",0,1,0,0,0,NA,"Collaboration"
"117","Carmen Simonton","Matt Mumphrey","CPRA",0,1,0,0,0,NA,"Coordination"
"118","Carmen Simonton","Brad LaBorde","USACE",0,1,0,0,0,NA,"Coordination"
"119","Carmen Simonton","Christina Fellas","NOAA",0,1,0,0,0,NA,"Coordination"
"120","Carmen Simonton","David Reeves","NFWF",0,1,0,0,0,NA,"Communication"
"121","Carmen Simonton","Julien Lartigue","NOAA",0,1,0,1,0,NA,"Coordination"
"122","Carmen Simonton","Ryan Bowles","USGS",0,1,0,1,0,NA,"Coordination"
"123","Carmen Simonton","Jessica Henkel","RESTORE",0,1,0,0,0,NA,"Coordination"
"124","Catherine Rideout","Ricky Chastain","AGFC",0,1,0,0,0,NA,"Collaboration"
"125","Catherine Rideout","David Briethaupt","LDWF",0,1,0,0,0,NA,"Collaboration"
"126","Catherine Rideout","Ryan Diener","Quail Forever",0,1,0,1,0,NA,"Collaboration"
"127","Catherine Rideout","Jason Nolde","USFS",0,1,0,1,0,NA,"Collaboration"
"128","Catherine Rideout","Jeremy Everitt","NWTF",0,1,0,0,0,NA,"Coordination"
"129","Catherine Rideout","Rick Williams","NRCS",0,1,0,0,0,NA,"Collaboration"
"130","Catherine Rideout","Dan Weber","TNC",0,1,0,0,0,NA,"Collaboration"
"131","Catherine Rideout","Amanda Mathis","NRCS",0,1,0,0,0,NA,"Collaboration"
"132","Catherine Rideout","Jeff Fore","TNC",0,1,0,0,0,NA,"Collaboration"
"133","Catherine Rideout","Bill Holomon","AR Nat Heritage",0,1,0,1,0,NA,"Collaboration"
"134","Catherine Rideout","Ricky O'Neill","Neely Lumber",0,1,0,0,0,NA,"Collaboration"
"135","Catherine Rideout","Jeremy Poirier","Int'l Paper",0,1,0,1,0,NA,"Collaboration"
"136","Catherine Rideout","Luke Lewis","AGFC",0,1,0,0,0,NA,"Collaboration"
"137","Catherine Rideout","Jerry Holden","Ducks Unlimited",0,1,0,0,0,NA,"Coordination"
"138","Catherine Rideout","Austin Klais","Quail Forever",0,1,0,1,0,NA,"Collaboration"
"139","Cathy Watkins","Gillian Bee","TN River Basin Network",0,1,0,1,0,NA,"Coordination"
"140","Cathy Watkins","Jeff Schaeffer","Tennessee Tech University",0,1,0,1,0,NA,"Coordination"
"141","Cathy Watkins","Rob Bullard","The Nature Conservancy",0,1,0,1,0,NA,"Coordination"
"142","Christopher DeVore","Mel Landry","NOAA",0,1,1,1,1,"Restoration","Collaboration"
"143","Christopher DeVore","Laura Bowie","GOMA",0,1,0,1,0,NA,"Collaboration"
"144","Christopher DeVore","Matt Mumfrey","CPRA",0,1,1,1,1,"Legal","Collaboration"
"145","Christopher DeVore","Todd Baker","LDWF",0,1,1,1,1,"Restoration","Collaboration"
"146","Christopher DeVore","Annie Howard","LDWF",0,1,1,1,1,"Restoration","Collaboration"
"147","Christopher DeVore","Alyssa Dausman","The Water Institute of the Gulf",0,1,0,1,0,NA,"Collaboration"
"148","Christopher DeVore","Jim Pahl","CPRA",0,1,1,1,0,NA,"Collaboration"
"149","Christopher DeVore","Renee Collini","MSU",0,1,0,1,0,NA,"Collaboration"
"150","Christopher DeVore","Mike Osland","USGS",0,1,0,1,0,NA,"Collaboration"
"151","Christopher DeVore","Amanda Sesser","SCA",0,1,0,1,0,NA,"Collaboration"
"152","Christopher DeVore","Mike Miner","The Water Institute of the Gulf",0,1,1,1,0,NA,"Collaboration"
"153","Christopher DeVore","Greg Steyer","USGS",0,1,0,1,0,NA,"Collaboration"
"154","Christopher DeVore","James Cronin","USGS",0,0,0,1,0,NA,"Collaboration"
"155","Christopher DeVore","Katie Freer","CPRA",0,0,1,1,1,"Restoration","Collaboration"
"156","Christopher DeVore","Kristine Evans","MSU",0,1,0,1,0,NA,"Collaboration"
"157","Cindy Fury","Jeff Duguay","LDWF",0,1,0,1,0,NA,"Coordination"
"158","Cindy Fury","Larry Reynolds","LDWF",0,1,0,1,0,NA,"Coordination"
"159","Cindy Fury","Paul Link","LDWF",0,1,0,1,0,NA,"Coordination"
"160","Cindy Fury","Luke Naylor","AGFC",0,1,0,1,0,NA,"Coordination"
"161","Cindy Fury","Houston Havens","MDWFP",0,1,0,1,0,NA,"Coordination"
"162","Cindy Fury","Seth Maddox","AL DNR",0,1,0,1,0,NA,"Coordination"
"163","Cindy Fury","Sammy King","LSU",0,1,0,1,0,NA,"Communication"
"164","Daniel Adams","nobody",NA,0,0,0,0,0,NA,NA
"165","Dawn James","Daniel Twedt","USGS",0,1,0,1,0,NA,"Collaboration"
"166","Dawn James","Dale James","DU",0,1,0,1,0,NA,"Collaboration"
"167","Dawn James","Luke Naylor","AGFC",0,1,0,1,0,NA,"Collaboration"
"168","Dawn James","Sammy King","LSU",0,1,0,1,0,NA,"Collaboration"
"169","Dawn James","Doug Osborne","UofA Monticello",0,1,0,1,0,NA,"Collaboration"
"170","Dawn James","David Krementz","UofA Fayetteville",0,1,0,1,0,NA,"Collaboration"
"171","Dawn James","Lisa Webb","U of Missouri",0,1,0,1,0,NA,"Collaboration"
"172","Dawn James","Cara Joos","CHJV",0,1,0,1,0,NA,"Collaboration"
"173","Dawn James","EJ Williams","ABC",0,1,0,1,0,NA,"Collaboration"
"174","Dawn James","Jim Giocomo","OPJV",0,1,0,1,0,NA,"Collaboration"
"175","Dawn James","Jane Fitzgerald","CHJV",0,1,0,1,0,NA,"Collaboration"
"176","Dawn James","Mike Mitchell","DU",0,1,0,1,0,NA,"Collaboration"
"177","Dawn James","Becky Keller","AMJV",0,1,0,1,0,NA,"Collaboration"
"178","Dawn James","Joe Lancaster","GCJV",0,1,0,1,0,NA,"Collaboration"
"179","Dawn James","Gregg Elliott","K Gregg Consulting",0,0,0,0,1,"Communication","Collaboration"
"180","Dean Demarest","Kat Diersen","Defenders of Wildlife",0,1,0,0,0,NA,"Collaboration"
"181","Dean Demarest","Shawna Mitchell","TN Aquarium Conservation Institute",0,1,0,0,0,NA,"Collaboration"
"182","Dean Demarest","Gillian Bee","Tennessee River Basin Network",0,1,0,0,0,NA,"Collaboration"
"183","Dean Demarest","Jeff Schaeffer","Tennessee Technological University",0,1,0,1,0,NA,"Collaboration"
"184","Dean Demarest","Wesley Giddens","Tennessee Technological University",0,0,0,1,0,NA,"Collaboration"
"185","Dean Demarest","Rob Bullard","The Nature Conservancy",0,1,0,0,0,NA,"Coordination"
"186","Dean Demarest","Pandy Upchurch","Tennessee Wildlife Resources Agency",0,1,0,0,0,NA,"Coordination"
"187","Dean Demarest","Mark Thurman","Tennessee Wildlife Resources Agency",0,1,0,0,0,NA,"Communication"
"188","Dean Demarest","Jenny Atkins","Natural Resources Conservation Service",0,1,0,0,0,NA,"Coordination"
"189","Dean Demarest","Leon Tillman","Natural Resources Conservation Service",0,1,0,0,0,NA,"Communication"
"190","Dean Demarest","Ben Gramling","Greater Nashville Environmental Roundtable",0,1,0,0,0,NA,"Communication"
